instance,number_of_cities,number_of_runs,initial_temperature,minimum_temperature,cooling_rate,max_iterations,run,operator,route_seed,sa_seed,initial_cost,best_cost,improvement_percentage,execution_time,best_route
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,11,create_swap_neighbor,ROUTE-11,SA-11,13158.226307881225,5424.10390837018,58.77784906981445,0.016878800000995398,"[0, 10, 21, 22, 14, 4, 2, 9, 6, 5, 15, 20, 16, 7, 19, 3, 12, 8, 1, 17, 11, 18, 23, 24, 13]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,12,create_swap_neighbor,ROUTE-12,SA-12,15132.562121689585,5649.169207458884,62.668785615874675,0.01796529999410268,"[0, 20, 2, 4, 14, 22, 12, 8, 1, 17, 11, 18, 23, 7, 19, 3, 21, 16, 10, 13, 9, 15, 5, 6, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,13,create_swap_neighbor,ROUTE-13,SA-13,14057.996214985871,7219.184685145767,48.64712883156071,0.020977700012736022,"[0, 22, 4, 14, 8, 12, 16, 10, 13, 9, 6, 5, 7, 17, 1, 3, 19, 21, 2, 15, 20, 11, 18, 23, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,14,create_swap_neighbor,ROUTE-14,SA-14,15141.72096612274,5989.755108882459,60.442045377248654,0.016885500008356757,"[0, 24, 6, 5, 15, 2, 14, 8, 12, 3, 19, 1, 17, 7, 16, 10, 13, 9, 20, 4, 22, 21, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,15,create_swap_neighbor,ROUTE-15,SA-15,15170.330946441485,5188.956245014745,65.79536555046663,0.02098669999395497,"[0, 24, 10, 13, 5, 15, 2, 4, 14, 22, 21, 20, 6, 9, 16, 7, 19, 3, 12, 8, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,16,create_swap_neighbor,ROUTE-16,SA-16,13599.889610562397,5240.822116948575,61.46423046788355,0.02194479999889154,"[0, 24, 13, 5, 15, 2, 4, 14, 22, 21, 12, 8, 3, 19, 17, 1, 18, 11, 23, 7, 16, 20, 6, 9, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,17,create_swap_neighbor,ROUTE-17,SA-17,12282.191259298223,6770.2719825991135,44.877328160203625,0.021434800000861287,"[0, 12, 3, 19, 11, 18, 23, 10, 20, 4, 2, 15, 5, 6, 9, 13, 16, 21, 22, 14, 8, 1, 17, 7, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,18,create_swap_neighbor,ROUTE-18,SA-18,14451.401071653247,5338.17071038521,63.06122372552407,0.032039900004747324,"[0, 23, 11, 18, 1, 17, 7, 19, 3, 8, 12, 16, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,19,create_swap_neighbor,ROUTE-19,SA-19,14629.127937105004,5317.221982861572,63.653185577965424,0.031086300004972145,"[0, 13, 9, 6, 24, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 16, 20, 5, 15, 2, 4, 14, 22, 21, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,20,create_swap_neighbor,ROUTE-20,SA-20,14223.023728098568,6416.858311464468,54.8840075490592,0.029414899996481836,"[0, 24, 6, 5, 9, 13, 23, 18, 11, 17, 7, 16, 20, 15, 2, 19, 3, 1, 8, 12, 14, 4, 22, 21, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,21,create_swap_neighbor,ROUTE-21,SA-21,14655.898869148887,6469.488539632739,55.85744281266016,0.04159930000605527,"[0, 24, 10, 16, 12, 8, 14, 4, 2, 15, 5, 6, 9, 7, 19, 3, 1, 17, 11, 18, 23, 13, 20, 22, 21]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,22,create_swap_neighbor,ROUTE-22,SA-22,12335.140926516411,5925.294121056387,51.9641149107669,0.02127739999559708,"[0, 7, 19, 17, 1, 18, 11, 23, 16, 10, 9, 6, 5, 15, 2, 4, 14, 8, 12, 3, 21, 22, 20, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,23,create_swap_neighbor,ROUTE-23,SA-23,10876.948191513424,5758.365983315366,47.05899226578789,0.024490700001479127,"[0, 13, 9, 6, 5, 15, 20, 19, 3, 17, 1, 8, 12, 14, 4, 2, 22, 21, 16, 7, 11, 18, 23, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,24,create_swap_neighbor,ROUTE-24,SA-24,14087.34012433054,5681.262007718332,59.671151845719216,0.023365500004729256,"[0, 20, 16, 8, 12, 7, 23, 18, 11, 17, 1, 3, 19, 21, 22, 14, 4, 2, 15, 5, 6, 9, 13, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,25,create_swap_neighbor,ROUTE-25,SA-25,12270.715151447632,5650.41622910386,53.952021871869015,0.04842500000086147,"[0, 22, 4, 14, 12, 8, 1, 17, 11, 18, 23, 7, 19, 3, 21, 16, 10, 9, 6, 5, 15, 2, 20, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,26,create_swap_neighbor,ROUTE-26,SA-26,16118.806609842457,5701.126710464221,64.6305905365041,0.03363609999360051,"[0, 24, 9, 6, 5, 15, 2, 20, 21, 12, 8, 14, 4, 22, 16, 13, 10, 7, 19, 3, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,27,create_swap_neighbor,ROUTE-27,SA-27,13574.998642429402,5609.928280949492,58.67455733354291,0.07190769999579061,"[0, 24, 13, 9, 10, 7, 19, 16, 21, 22, 20, 6, 5, 15, 2, 4, 14, 8, 12, 3, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,28,create_swap_neighbor,ROUTE-28,SA-28,13749.15373950684,6069.911627097938,55.852471053133655,0.037845799990464,"[0, 7, 19, 3, 8, 12, 16, 10, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24, 11, 17, 1, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,29,create_swap_neighbor,ROUTE-29,SA-29,13347.93067209286,6156.435554037758,53.87722857364472,0.03771410000626929,"[0, 24, 10, 13, 9, 6, 5, 15, 2, 20, 23, 18, 11, 7, 16, 19, 3, 12, 8, 14, 4, 22, 21, 1, 17]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,30,create_swap_neighbor,ROUTE-30,SA-30,14449.7143242634,5535.967358462373,61.688049782641095,0.018289999992703088,"[0, 24, 13, 6, 9, 10, 7, 19, 16, 21, 22, 20, 5, 15, 2, 4, 14, 8, 12, 3, 1, 17, 11, 18, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,1,create_insertion_neighbor,ROUTE-01,SA-01,12625.148729249478,5919.50752736275,53.113364014091545,0.027548499987460673,"[0, 7, 17, 1, 19, 3, 8, 12, 22, 14, 4, 2, 15, 5, 6, 9, 20, 21, 16, 10, 13, 24, 23, 18, 11]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,2,create_insertion_neighbor,ROUTE-02,SA-02,14396.908468691281,5892.337357999095,59.072203794216904,0.017914600000949576,"[0, 19, 3, 12, 8, 1, 17, 20, 5, 15, 2, 4, 14, 22, 21, 16, 7, 11, 18, 23, 10, 9, 6, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,3,create_insertion_neighbor,ROUTE-03,SA-03,13941.062500324128,6080.42528302713,56.384778542627146,0.016598000001977198,"[0, 10, 7, 8, 12, 21, 20, 2, 15, 5, 6, 9, 13, 24, 23, 18, 11, 17, 1, 3, 19, 14, 4, 22, 16]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,4,create_insertion_neighbor,ROUTE-04,SA-04,17123.456300488113,5413.76175820459,68.38394268538958,0.022133399994345382,"[0, 23, 18, 11, 19, 3, 12, 8, 1, 17, 7, 16, 20, 15, 5, 6, 9, 2, 4, 14, 22, 21, 10, 13, 24]"
